対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
201510,28100,00000,全市,合計,合計,総数,1548301,,
201510,28100,00000,全市,合計,合計,0,11774,,
201510,28100,00000,全市,合計,合計,1,12216,,
201510,28100,00000,全市,合計,合計,2,12379,,
201510,28100,00000,全市,合計,合計,3,12504,,
201510,28100,00000,全市,合計,合計,4,12781,,
201510,28100,00000,全市,合計,合計,5,13193,,
201510,28100,00000,全市,合計,合計,6,13001,,
201510,28100,00000,全市,合計,合計,7,13217,,
201510,28100,00000,全市,合計,合計,8,13149,,
201510,28100,00000,全市,合計,合計,9,13119,,
201510,28100,00000,全市,合計,合計,10,13128,,
201510,28100,00000,全市,合計,合計,11,13211,,
201510,28100,00000,全市,合計,合計,12,13725,,
201510,28100,00000,全市,合計,合計,13,13839,,
201510,28100,00000,全市,合計,合計,14,13850,,
201510,28100,00000,全市,合計,合計,15,14206,,
201510,28100,00000,全市,合計,合計,16,14183,,
201510,28100,00000,全市,合計,合計,17,14278,,
201510,28100,00000,全市,合計,合計,18,14243,,
201510,28100,00000,全市,合計,合計,19,15055,,
201510,28100,00000,全市,合計,合計,20,14962,,
201510,28100,00000,全市,合計,合計,21,15458,,
201510,28100,00000,全市,合計,合計,22,15401,,
201510,28100,00000,全市,合計,合計,23,15807,,
201510,28100,00000,全市,合計,合計,24,15901,,
201510,28100,00000,全市,合計,合計,25,16302,,
201510,28100,00000,全市,合計,合計,26,16066,,
201510,28100,00000,全市,合計,合計,27,16659,,
201510,28100,00000,全市,合計,合計,28,16713,,
201510,28100,00000,全市,合計,合計,29,17064,,
201510,28100,00000,全市,合計,合計,30,17372,,
201510,28100,00000,全市,合計,合計,31,18191,,
201510,28100,00000,全市,合計,合計,32,18367,,
201510,28100,00000,全市,合計,合計,33,18054,,
201510,28100,00000,全市,合計,合計,34,18311,,
201510,28100,00000,全市,合計,合計,35,18640,,
201510,28100,00000,全市,合計,合計,36,19421,,
201510,28100,00000,全市,合計,合計,37,20463,,
201510,28100,00000,全市,合計,合計,38,21100,,
201510,28100,00000,全市,合計,合計,39,21824,,
201510,28100,00000,全市,合計,合計,40,23445,,
201510,28100,00000,全市,合計,合計,41,24792,,
201510,28100,00000,全市,合計,合計,42,25606,,
201510,28100,00000,全市,合計,合計,43,24747,,
201510,28100,00000,全市,合計,合計,44,24388,,
201510,28100,00000,全市,合計,合計,45,23849,,
201510,28100,00000,全市,合計,合計,46,23576,,
201510,28100,00000,全市,合計,合計,47,22543,,
201510,28100,00000,全市,合計,合計,48,22397,,
201510,28100,00000,全市,合計,合計,49,17032,,
201510,28100,00000,全市,合計,合計,50,21609,,
201510,28100,00000,全市,合計,合計,51,20489,,
201510,28100,00000,全市,合計,合計,52,19878,,
201510,28100,00000,全市,合計,合計,53,19364,,
201510,28100,00000,全市,合計,合計,54,18443,,
201510,28100,00000,全市,合計,合計,55,18565,,
201510,28100,00000,全市,合計,合計,56,18924,,
201510,28100,00000,全市,合計,合計,57,18555,,
201510,28100,00000,全市,合計,合計,58,17192,,
201510,28100,00000,全市,合計,合計,59,18109,,
201510,28100,00000,全市,合計,合計,60,18199,,
201510,28100,00000,全市,合計,合計,61,18500,,
201510,28100,00000,全市,合計,合計,62,19765,,
201510,28100,00000,全市,合計,合計,63,20497,,
201510,28100,00000,全市,合計,合計,64,21960,,
201510,28100,00000,全市,合計,合計,65,23252,,
201510,28100,00000,全市,合計,合計,66,27207,,
201510,28100,00000,全市,合計,合計,67,27150,,
201510,28100,00000,全市,合計,合計,68,26141,,
201510,28100,00000,全市,合計,合計,69,15756,,
201510,28100,00000,全市,合計,合計,70,16260,,
201510,28100,00000,全市,合計,合計,71,20038,,
201510,28100,00000,全市,合計,合計,72,19263,,
201510,28100,00000,全市,合計,合計,73,19868,,
201510,28100,00000,全市,合計,合計,74,19640,,
201510,28100,00000,全市,合計,合計,75,16970,,
201510,28100,00000,全市,合計,合計,76,14570,,
201510,28100,00000,全市,合計,合計,77,14467,,
201510,28100,00000,全市,合計,合計,78,15154,,
201510,28100,00000,全市,合計,合計,79,14772,,
201510,28100,00000,全市,合計,合計,80,14293,,
201510,28100,00000,全市,合計,合計,81,12473,,
201510,28100,00000,全市,合計,合計,82,12451,,
201510,28100,00000,全市,合計,合計,83,11693,,
201510,28100,00000,全市,合計,合計,84,10100,,
201510,28100,00000,全市,合計,合計,85,8776,,
201510,28100,00000,全市,合計,合計,86,8144,,
201510,28100,00000,全市,合計,合計,87,7127,,
201510,28100,00000,全市,合計,合計,88,6088,,
201510,28100,00000,全市,合計,合計,89,5448,,
201510,28100,00000,全市,合計,合計,90,4452,,
201510,28100,00000,全市,合計,合計,91,3552,,
201510,28100,00000,全市,合計,合計,92,2806,,
201510,28100,00000,全市,合計,合計,93,2401,,
201510,28100,00000,全市,合計,合計,94,1755,,
201510,28100,00000,全市,合計,合計,95,1485,,
201510,28100,00000,全市,合計,合計,96,880,,
201510,28100,00000,全市,合計,合計,97,761,,
201510,28100,00000,全市,合計,合計,98,500,,
201510,28100,00000,全市,合計,合計,99,356,,
201510,28100,00000,全市,合計,合計,100,701,,
201510,28100,00000,全市,合計,男,総数,735723,,
201510,28100,00000,全市,合計,男,0,6028,,
201510,28100,00000,全市,合計,男,1,6222,,
201510,28100,00000,全市,合計,男,2,6284,,
201510,28100,00000,全市,合計,男,3,6484,,
201510,28100,00000,全市,合計,男,4,6510,,
201510,28100,00000,全市,合計,男,5,6718,,
201510,28100,00000,全市,合計,男,6,6684,,
201510,28100,00000,全市,合計,男,7,6762,,
201510,28100,00000,全市,合計,男,8,6788,,
201510,28100,00000,全市,合計,男,9,6786,,
201510,28100,00000,全市,合計,男,10,6639,,
201510,28100,00000,全市,合計,男,11,6712,,
201510,28100,00000,全市,合計,男,12,7091,,
201510,28100,00000,全市,合計,男,13,7074,,
201510,28100,00000,全市,合計,男,14,7120,,
201510,28100,00000,全市,合計,男,15,7191,,
201510,28100,00000,全市,合計,男,16,7257,,
201510,28100,00000,全市,合計,男,17,7291,,
201510,28100,00000,全市,合計,男,18,7333,,
201510,28100,00000,全市,合計,男,19,7780,,
201510,28100,00000,全市,合計,男,20,7763,,
201510,28100,00000,全市,合計,男,21,7844,,
201510,28100,00000,全市,合計,男,22,7699,,
201510,28100,00000,全市,合計,男,23,7774,,
201510,28100,00000,全市,合計,男,24,7726,,
201510,28100,00000,全市,合計,男,25,8071,,
201510,28100,00000,全市,合計,男,26,7899,,
201510,28100,00000,全市,合計,男,27,8075,,
201510,28100,00000,全市,合計,男,28,8110,,
201510,28100,00000,全市,合計,男,29,8395,,
201510,28100,00000,全市,合計,男,30,8548,,
201510,28100,00000,全市,合計,男,31,8854,,
201510,28100,00000,全市,合計,男,32,8996,,
201510,28100,00000,全市,合計,男,33,8690,,
201510,28100,00000,全市,合計,男,34,8951,,
201510,28100,00000,全市,合計,男,35,9010,,
201510,28100,00000,全市,合計,男,36,9443,,
201510,28100,00000,全市,合計,男,37,9752,,
201510,28100,00000,全市,合計,男,38,10216,,
201510,28100,00000,全市,合計,男,39,10582,,
201510,28100,00000,全市,合計,男,40,11385,,
201510,28100,00000,全市,合計,男,41,12097,,
201510,28100,00000,全市,合計,男,42,12416,,
201510,28100,00000,全市,合計,男,43,12139,,
201510,28100,00000,全市,合計,男,44,11868,,
201510,28100,00000,全市,合計,男,45,11661,,
201510,28100,00000,全市,合計,男,46,11537,,
201510,28100,00000,全市,合計,男,47,11105,,
201510,28100,00000,全市,合計,男,48,10867,,
201510,28100,00000,全市,合計,男,49,8276,,
201510,28100,00000,全市,合計,男,50,10461,,
201510,28100,00000,全市,合計,男,51,9915,,
201510,28100,00000,全市,合計,男,52,9598,,
201510,28100,00000,全市,合計,男,53,9374,,
201510,28100,00000,全市,合計,男,54,9017,,
201510,28100,00000,全市,合計,男,55,8851,,
201510,28100,00000,全市,合計,男,56,9068,,
201510,28100,00000,全市,合計,男,57,8872,,
201510,28100,00000,全市,合計,男,58,8232,,
201510,28100,00000,全市,合計,男,59,8778,,
201510,28100,00000,全市,合計,男,60,8802,,
201510,28100,00000,全市,合計,男,61,8942,,
201510,28100,00000,全市,合計,男,62,9477,,
201510,28100,00000,全市,合計,男,63,9999,,
201510,28100,00000,全市,合計,男,64,10581,,
201510,28100,00000,全市,合計,男,65,11160,,
201510,28100,00000,全市,合計,男,66,13050,,
201510,28100,00000,全市,合計,男,67,12875,,
201510,28100,00000,全市,合計,男,68,12509,,
201510,28100,00000,全市,合計,男,69,7468,,
201510,28100,00000,全市,合計,男,70,7574,,
201510,28100,00000,全市,合計,男,71,9198,,
201510,28100,00000,全市,合計,男,72,8895,,
201510,28100,00000,全市,合計,男,73,9047,,
201510,28100,00000,全市,合計,男,74,8681,,
201510,28100,00000,全市,合計,男,75,7473,,
201510,28100,00000,全市,合計,男,76,6418,,
201510,28100,00000,全市,合計,男,77,6238,,
201510,28100,00000,全市,合計,男,78,6378,,
201510,28100,00000,全市,合計,男,79,6144,,
201510,28100,00000,全市,合計,男,80,5786,,
201510,28100,00000,全市,合計,男,81,4944,,
201510,28100,00000,全市,合計,男,82,4839,,
201510,28100,00000,全市,合計,男,83,4507,,
201510,28100,00000,全市,合計,男,84,3689,,
201510,28100,00000,全市,合計,男,85,3139,,
201510,28100,00000,全市,合計,男,86,2742,,
201510,28100,00000,全市,合計,男,87,2380,,
201510,28100,00000,全市,合計,男,88,2000,,
201510,28100,00000,全市,合計,男,89,1645,,
201510,28100,00000,全市,合計,男,90,1293,,
201510,28100,00000,全市,合計,男,91,943,,
201510,28100,00000,全市,合計,男,92,661,,
201510,28100,00000,全市,合計,男,93,515,,
201510,28100,00000,全市,合計,男,94,315,,
201510,28100,00000,全市,合計,男,95,287,,
201510,28100,00000,全市,合計,男,96,150,,
201510,28100,00000,全市,合計,男,97,110,,
201510,28100,00000,全市,合計,男,98,75,,
201510,28100,00000,全市,合計,男,99,49,,
201510,28100,00000,全市,合計,男,100,76,,
201510,28100,00000,全市,合計,女,総数,812578,,
201510,28100,00000,全市,合計,女,0,5746,,
201510,28100,00000,全市,合計,女,1,5994,,
201510,28100,00000,全市,合計,女,2,6095,,
