対象年月,区CD,行政区CD,区名,支所等,性別,年齢,値,,
201710,28100,00000,全市,合計,合計,総数,1543031,,
201710,28100,00000,全市,合計,合計,0,11181,,
201710,28100,00000,全市,合計,合計,1,11949,,
201710,28100,00000,全市,合計,合計,2,12070,,
201710,28100,00000,全市,合計,合計,3,12224,,
201710,28100,00000,全市,合計,合計,4,12422,,
201710,28100,00000,全市,合計,合計,5,12498,,
201710,28100,00000,全市,合計,合計,6,12818,,
201710,28100,00000,全市,合計,合計,7,13243,,
201710,28100,00000,全市,合計,合計,8,13074,,
201710,28100,00000,全市,合計,合計,9,13246,,
201710,28100,00000,全市,合計,合計,10,13210,,
201710,28100,00000,全市,合計,合計,11,13148,,
201710,28100,00000,全市,合計,合計,12,13128,,
201710,28100,00000,全市,合計,合計,13,13262,,
201710,28100,00000,全市,合計,合計,14,13761,,
201710,28100,00000,全市,合計,合計,15,13851,,
201710,28100,00000,全市,合計,合計,16,13855,,
201710,28100,00000,全市,合計,合計,17,14248,,
201710,28100,00000,全市,合計,合計,18,14519,,
201710,28100,00000,全市,合計,合計,19,15336,,
201710,28100,00000,全市,合計,合計,20,15260,,
201710,28100,00000,全市,合計,合計,21,15911,,
201710,28100,00000,全市,合計,合計,22,15540,,
201710,28100,00000,全市,合計,合計,23,15949,,
201710,28100,00000,全市,合計,合計,24,15366,,
201710,28100,00000,全市,合計,合計,25,15416,,
201710,28100,00000,全市,合計,合計,26,15411,,
201710,28100,00000,全市,合計,合計,27,15653,,
201710,28100,00000,全市,合計,合計,28,15658,,
201710,28100,00000,全市,合計,合計,29,16275,,
201710,28100,00000,全市,合計,合計,30,16441,,
201710,28100,00000,全市,合計,合計,31,16766,,
201710,28100,00000,全市,合計,合計,32,17142,,
201710,28100,00000,全市,合計,合計,33,17979,,
201710,28100,00000,全市,合計,合計,34,18110,,
201710,28100,00000,全市,合計,合計,35,17886,,
201710,28100,00000,全市,合計,合計,36,18235,,
201710,28100,00000,全市,合計,合計,37,18708,,
201710,28100,00000,全市,合計,合計,38,19367,,
201710,28100,00000,全市,合計,合計,39,20504,,
201710,28100,00000,全市,合計,合計,40,21081,,
201710,28100,00000,全市,合計,合計,41,21803,,
201710,28100,00000,全市,合計,合計,42,23431,,
201710,28100,00000,全市,合計,合計,43,24868,,
201710,28100,00000,全市,合計,合計,44,25619,,
201710,28100,00000,全市,合計,合計,45,24752,,
201710,28100,00000,全市,合計,合計,46,24392,,
201710,28100,00000,全市,合計,合計,47,23813,,
201710,28100,00000,全市,合計,合計,48,23542,,
201710,28100,00000,全市,合計,合計,49,22514,,
201710,28100,00000,全市,合計,合計,50,22325,,
201710,28100,00000,全市,合計,合計,51,16998,,
201710,28100,00000,全市,合計,合計,52,21542,,
201710,28100,00000,全市,合計,合計,53,20488,,
201710,28100,00000,全市,合計,合計,54,19813,,
201710,28100,00000,全市,合計,合計,55,19262,,
201710,28100,00000,全市,合計,合計,56,18398,,
201710,28100,00000,全市,合計,合計,57,18478,,
201710,28100,00000,全市,合計,合計,58,18785,,
201710,28100,00000,全市,合計,合計,59,18495,,
201710,28100,00000,全市,合計,合計,60,17065,,
201710,28100,00000,全市,合計,合計,61,17963,,
201710,28100,00000,全市,合計,合計,62,18040,,
201710,28100,00000,全市,合計,合計,63,18284,,
201710,28100,00000,全市,合計,合計,64,19541,,
201710,28100,00000,全市,合計,合計,65,20274,,
201710,28100,00000,全市,合計,合計,66,21638,,
201710,28100,00000,全市,合計,合計,67,22916,,
201710,28100,00000,全市,合計,合計,68,26752,,
201710,28100,00000,全市,合計,合計,69,26651,,
201710,28100,00000,全市,合計,合計,70,25564,,
201710,28100,00000,全市,合計,合計,71,15384,,
201710,28100,00000,全市,合計,合計,72,15836,,
201710,28100,00000,全市,合計,合計,73,19524,,
